Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
pelvis,-2.55953312663147E-07,1.30205429548044E-07,-0.073528362079862,0,0,0,0.799222264603151,0.00300167750876723,-2.04369989455043E-07,-5.09665599903495E-10,0.00268953259882085,-4.86497005002319E-09,0.00349479113001131,0,0,0,0,0,0,package://atom/meshes/pelvis.STL,1,1,1,1,0,0,0,0,0,0,package://atom/meshes/pelvis.STL,,URDF-2-1/P2版本人形机器人下半身ID简化-1,pelvis <URDF-2-1>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
leg_l1_link,0.0123249094365011,0.0398024746111632,-0.00336676374114967,0,0,0,0.164854432669681,0.000206053722684283,-4.45176521326931E-05,2.81293765943954E-05,0.00020730697265957,2.53780460893602E-05,0.000202219320853143,0,0,0,0,0,0,package://atom/meshes/leg_l1_link.STL,1,1,1,1,0,0,0,0,0,0,package://atom/meshes/leg_l1_link.STL,,URDF-2-1/P2左髋关节pitch—roll连接组件简化-1,leg_l1_link,leg_l1_link_axis <URDF-2-1>,leg_l1_joint,revolute,0,0.0744999999999999,-0.133,0,0,0,pelvis,0,1,0,280,14,-2.5656,3.0194,,,,,,,,
leg_l2_link,-0.00804608973734121,0.00108857295993878,-0.00480304687678594,0,0,0,0.789476703498164,0.00111071773754045,1.10523355825448E-05,2.28471345126338E-05,0.00117128499852281,-3.80926904910806E-05,0.00110027216755886,0,0,0,0,0,0,package://atom/meshes/leg_l2_link.STL,1,1,1,1,0,0,0,0,0,0,package://atom/meshes/leg_l2_link.STL,,URDF-2-1/关节电机—8524—22髋关节roll—简易左腿—RM—A01-1,leg_l2_link,leg_l2_link_axis <URDF-2-1>,leg_l2_joint,revolute,0.00283008034419562,0.0764999999999997,-0.0248392963919153,0,-0.113446401379624,0,leg_l1_link,1,0,0,308,10,-0.2618,1.6581,,,,,,,,
leg_l3_link,-0.00566453847809788,0.00262945428324479,-0.128040524473142,0,0,0,0.792184706634502,0.00575981115950589,-3.03965145286382E-05,-0.000419640434389491,0.00629075474222647,-0.000187099565850384,0.00255928464030902,0,0,0,0,0,0,package://atom/meshes/leg_l3_link.STL,1,1,1,1,0,0,0,0,0,0,package://atom/meshes/leg_l3_link.STL,,URDF-2-1/P2左大腿杆ID简化组件-2,leg_l3_link,leg_l3_link_axis <URDF-2-1>,leg_l3_joint,revolute,0,-0.0200000000000001,-0.065,0,0,0,leg_l2_link,0,0,1,140,10,-2.7925,2.7925,,,,,,,,
leg_l4_link,-0.00143809314386023,-0.00122989656099176,-0.114874943664346,0,0,0,0.403005933922139,0.0043384832670283,9.39949606192555E-06,-0.000391333151529077,0.00422040834740582,6.24036350143562E-05,0.000473154997654783,0,0,0,0,0,0,package://atom/meshes/leg_l4_link.STL,1,1,1,1,0,0,0,0,0,0,package://atom/meshes/leg_l4_link.STL,,URDF-2-1/左小腿杆ID简化组件-1,leg_l4_link,leg_l4_link_axis <URDF-2-1>,leg_l4_joint,revolute,-0.0468661304999053,0,-0.3213387482501,0,0,0,leg_l3_link,0,1,0,360,14,0,2.4871,,,,,,,,
leg_l5_link,2.60208521396521E-18,8.32667268468867E-17,-0.0124527416924084,0,0,0,0.0247279705135108,7.29901373323328E-06,2.03117588109205E-21,-5.00052559094755E-23,5.52879253158116E-06,9.91715616172897E-22,5.30343262068572E-06,0,0,0,0,0,0,package://atom/meshes/leg_l5_link.STL,1,1,1,1,0,0,0,0,0,0,package://atom/meshes/leg_l5_link.STL,,URDF-2-1/P2踝关节销轴组件—RM—A01-1,leg_l5_link,leg_l5_link_axis <URDF-2-1>,leg_l5_joint,revolute,-0.031961645478192,0,-0.333525790934264,0,0.113446401379621,0,leg_l4_link,0,1,0,130,12,-0.5236,0.8727,,,,,,,,
leg_l6_link,0.0237296884952185,-1.17004445021607E-07,-0.0429069948419259,0,0,0,0.331292229249353,0.000261619610848875,3.86445141932437E-09,4.51316290816096E-05,0.00136775514007446,-9.72485542217197E-10,0.00141574268747198,0,0,0,0,0,0,package://atom/meshes/leg_l6_link.STL,1,1,1,1,0,0,0,0,0,0,package://atom/meshes/leg_l6_link.STL,,URDF-2-1/脚底板ID简化组件-1,leg_l6_link,leg_l6_link_axis <URDF-2-1>,leg_l6_joint,revolute,0,0,-0.025,0,0,0,leg_l5_link,1,0,0,130,12,-0.48,0.48,,,,,,,,
leg_r1_link,0.0123242301153719,-0.0397904356799752,-0.00335776665030687,0,0,0,0.164877848492169,0.000206000783122437,4.45376425585878E-05,2.81483535771194E-05,0.000207373744204687,-2.53947663104414E-05,0.000202152992695575,0,0,0,0,0,0,package://atom/meshes/leg_r1_link.STL,1,1,1,1,0,0,0,0,0,0,package://atom/meshes/leg_r1_link.STL,,URDF-2-1/P2右髋关节pitch—roll连接组件简化-1,leg_r1_link,leg_r1_link_axis <URDF-2-1>,leg_r1_joint,revolute,0,-0.0745000000000004,-0.133,0,0,0,pelvis,0,1,0,180,14,-2.5656,1.6581,,,,,,,,
leg_r2_link,-0.00360925526552749,-0.00179133440064611,-0.00459209225871962,0,0,0,0.696544872307194,0.00100309130056532,-1.10071878935213E-05,8.74500623045979E-06,0.000972737969871597,2.36990873878853E-05,0.000904184087532551,0,0,0,0,0,0,package://atom/meshes/leg_r2_link.STL,1,1,1,1,0,0,0,0,0,0,package://atom/meshes/leg_r2_link.STL,,URDF-2-1/关节电机—8524—22髋关节roll—简易右腿—RM—A01-1,leg_r2_link,leg_r2_link_axis <URDF-2-1>,leg_r2_joint,revolute,0.00283008034419555,-0.0765000000000001,-0.0248392963919166,0,-0.113446401379617,0,leg_r1_link,1,0,0,308,10,-1.6581,0.2618,,,,,,,,
leg_r3_link,-0.00568089375127541,-0.00264118141837044,-0.128033119815443,0,0,0,0.791881448281013,0.00575999489134436,3.06074906353222E-05,-0.000419688676884241,0.00629102327440513,0.000186714294244438,0.00255857228437578,0,0,0,0,0,0,package://atom/meshes/leg_r3_link.STL,1,1,1,1,0,0,0,0,0,0,package://atom/meshes/leg_r3_link.STL,,URDF-2-1/P2右大腿杆ID简化组件-1,leg_r3_link,leg_r3_link_axis <URDF-2-1>,leg_r3_joint,revolute,0,0.0200000000000016,-0.065,0,0,0,leg_r2_link,0,0,1,140,10,-2.7925,2.7925,,,,,,,,
